Community Area Name,Homicide_rate_per_100k,Homicide,Violence,Property Crimes,Breast cancer in females,Cancer (All Sites),Colorectal Cancer,Diabetes-related,Lung Cancer,Prostate Cancer in Males,Stroke (Cerebrovascular Disease),Birth Rate,General Fertility Rate,Low Birth Weight,Preterm Births,Teen Birth Rate,Below Poverty Level,Dependency,Unemployment
South Chicago,36.899999999963185,85,16421,16736,31.899999999972025,227.30000000015983,21.099999999994626,86.89999999998983,50.8999999999477,56.29999999996141,50.60000000005206,18.09999999998389,82.20000000008513,13.0,15.09999999998532,76.799999999922,28.0,43.1000000000449,17.69999999998279
South Deering,41.30000000000845,27,4851,6023,25.299999999992252,224.0,32.5,80.600000000015,59.19999999998003,48.699999999985764,54.90000000001611,15.799999999994586,76.69999999997397,14.89999999999687,15.700000000005375,65.30000000002246,24.5,41.40000000001377,11.799999999996695
South Lawndale,11.099999999990013,101,13119,15038,13.199999999998152,127.400000000076,9.200000000007632,65.0,15.900000000014,32.69999999997149,37.30000000003074,19.5,94.89999999997444,7.599999999996134,9.59999999999209,77.5,28.100000000009107,33.100000000021794,11.5
South Shore,33.39999999994297,127,26633,31268,32.39999999994409,246.0,25.10000000004509,95.4000000001703,70.0,54.79999999990175,53.200000000095606,15.699999999972635,67.9000000000884,13.800000000024722,13.39999999999685,65.90000000007977,31.5,37.600000000061065,17.699999999970466
Uptown,5.399999999996168,22,9449,14261,21.300000000014297,183.29999999987373,20.5,80.0,50.5,25.19999999998071,41.699999999969904,13.099999999989835,50.5,8.299999999993535,10.29999999999253,35.10000000001481,22.699999999983717,22.1999999999844,7.700000000006063
Washington Heights,38.0,57,8921,11825,47.89999999997586,260.5999999998304,29.69999999998125,79.5,70.0,56.199999999968135,57.600000000035756,12.0,61.0,19.599999999987254,16.200000000004444,65.0,15.700000000006067,42.39999999998482,18.300000000001408
Washington Park,44.60000000001107,61,9707,8941,26.0,258.0,31.900000000016107,88.20000000002028,79.79999999999718,67.0,43.300000000025435,19.299999999999155,72.10000000004237,17.700000000005126,16.900000000009747,82.60000000004881,39.09999999999953,40.89999999999635,23.19999999999288
West Elsdon,5.9000000000009205,8,2043,4492,12.100000000002535,180.60000000003674,11.5,68.5,57.80000000000253,44.700000000008075,42.59999999999165,20.799999999996007,92.30000000001898,4.599999999999085,7.5,45.5,9.800000000001896,38.70000000000753,13.5
West Englewood,47.20000000007571,155,26713,25385,39.20000000005315,247.60000000014136,24.399999999960325,88.20000000012709,66.29999999989244,75.0,64.59999999995057,20.3000000000305,93.29999999986968,16.10000000001211,13.800000000022935,116.90000000019398,32.299999999975284,40.89999999993877,34.70000000003589
West Garfield Park,40.0,98,13022,12035,54.70000000002239,291.5,31.399999999978238,118.20000000011042,65.29999999995101,75.0,77.0,20.099999999983687,88.39999999996691,17.0,17.5,114.90000000006044,40.30000000003266,42.5,25.19999999997567
West Lawn,10.700000000003957,15,3800,10176,16.900000000003818,145.10000000005684,15.700000000006403,61.5,36.69999999998928,19.70000000000747,43.09999999998435,18.799999999992735,83.30000000003078,7.600000000003116,8.299999999998263,44.59999999998409,15.299999999993734,41.90000000001543,7.799999999998901
West Pullman,43.899999999959796,91,14241,14565,20.300000000017945,263.59999999976856,32.60000000002185,83.39999999993474,78.60000000006356,62.899999999943816,63.899999999943226,15.300000000008593,71.20000000005571,14.900000000013534,14.400000000013197,67.79999999995084,24.300000000022653,42.199999999967204,17.0
West Ridge,5.7999999999966825,15,7534,14923,20.199999999991675,155.90000000005546,17.300000000001916,60.5,36.0,14.200000000007837,34.69999999997569,17.300000000001916,83.29999999996211,8.10000000000056,8.299999999994176,29.90000000001021,15.099999999989507,38.3000000000264,7.899999999998838
West Town,8.5,47,15444,40496,14.5,139.59999999978376,12.40000000001641,107.0,27.39999999995664,16.60000000001099,33.29999999997752,18.800000000028433,60.40000000001131,9.099999999986082,10.800000000015002,49.200000000075406,15.699999999975148,22.89999999996641,6.0
Woodlawn,31.100000000019268,59,13774,14115,32.89999999997669,241.30000000013573,23.900000000002986,82.10000000006515,69.79999999994538,58.0,60.0,15.099999999986224,60.100000000054905,17.40000000001503,16.300000000011337,51.10000000004817,28.300000000026273,37.60000000003204,17.30000000001337
